"Source:","/home/animeman/Documents/GitHub/CVBS-Ossiliscope-Monitor/tht/cvbs-oscilloscope-meter.kicad_sch"
"Date:","Mon 06 Jun 2022 10:54:27 PM EDT"
"Tool:","Eeschema 6.0.5"
"Generator:","/app/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R14","4.7k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R15","68k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R16","2.4k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","RV1","1k","Device:R_Potentiometer_US","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Vertical","~"
"","","RV2","10k","Device:R_Potentiometer_US","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Vertical","~"
"","","U1","LM1881","Video:LM1881","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""
"","","U2","AD8032","Device:Opamp_Dual","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","~"
"","","U3","LM7809_TO220","Regulator_Linear:LM7809_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","100n","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"2","1","C2","22n","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"3","2","C3, C4","0.1u","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"4","1","C5","10n","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
